Episode,Average Reward,Average Loss,Total Lines sent
617,-3.2604347826086957,75.04320760981696,9
618,-2.3407563025210076,8.438531682083086,16
619,-3.4824468085106384,10.914872694755607,6
620,-3.4100000000000006,26.00588010757789,13
621,-2.7250000000000005,6.540756290920572,4
622,-4.151923076923078,21.469889116909307,6
623,-4.935227272727273,107.7512115833286,4
624,-2.7372807017543854,24.01653236091921,8
625,-3.3674157303370786,15.437770800958022,8
626,-3.7149253731343284,25.20842980059887,18
627,-2.9375,4.447049294334227,2
628,-2.759821428571429,6.888084867141775,12
629,-3.0726851851851857,11.578552439366023,11
630,-4.165350877192983,14.098334118128518,10
631,-3.629729729729729,18.666139336924545,7
632,-5.295512820512821,13.601163811372736,4
633,-2.556741573033708,7.380356403588307,6
634,-0.9517647058823528,4.239332371433262,19
635,-2.951156069364162,9.620520038056831,22
636,-4.054710144927536,10.185022818154074,16
637,-2.105921052631578,10.53853807575682,8
638,-2.0491150442477877,6.0623922424426455,12
639,-3.5000000000000004,18.332553829879505,12
640,-3.5216981132075467,15.954196076522766,13
641,-3.447619047619048,14.86048636227393,27
642,-3.4662337662337666,7.650737342489702,4
643,-1.7897887323943658,4.30965382565015,14
644,-2.2820512820512815,12.177397547521565,8
645,-3.4730769230769236,8.578492287635946,6
646,-3.109756097560977,10.815958095450474,19
647,-2.9842741935483867,86.2595484341824,10
648,-3.434638554216866,13.477400448105785,32
649,-4.029819277108433,7.710915057267362,18
650,-5.639204545454547,101.35557794433015,6
651,-4.11076388888889,53.53135536348499,15
652,-3.5213414634146334,10.596307086568077,7
653,-5.0351351351351346,15.234384356232292,7
